frame_start,frame_end,frame_time,is_delayed
234822584616593,234822587775733,3159140,False
234824967722526,234824971664065,3941539,False
234825101045610,234825105987399,4941789,False
234823301227503,234823304922972,3695469,False
234823651212254,234823654885368,3673114,False
234822118856867,234822123417921,4561054,False
234823284561088,234823287052087,2490999,False
234825767649617,234825770957555,3307938,False
234824217840574,234824221330055,3489481,False
234807620998030,234807624017718,3019688,False
234823201229221,234823205443076,4213855,False
234823884534354,234823887674326,3139972,False
234817367398567,234817372331620,4933053,False
234823501217071,234823504595108,3378037,False
234823184562801,234823188775264,4212463,False
234825451016964,234825456231669,5214705,False
234819168399579,234819172668859,4269280,False
234823601214438,234823605437243,4222805,False
234823367887209,234823371553806,3666597,False
234826667513893,234826670749638,3235745,False
234824001192567,234824004699743,3507176,False
234808204528870,234808206015634,1486764,False
234825434351611,234825437015992,2664381,False
234822218878673,234822223629848,4751175,False
234808504640398,234808506857457,2217059,False
234823517883470,234823520672399,2788929,False
234818017854758,234818021822818,3968060,False
234820418458176,234820424291619,5833443,False
234825917632220,234825924448023,6815803,False
234819901619337,234819905090994,3471657,False
234826000956890,234826005940680,4983790,False
234826567520028,234826570557815,3037787,False
234825817643525,234825820217242,2573717,False
234825534340920,234825538550107,4209187,False
234820318421194,234820321555109,3133915,False
234819601899715,234819606570734,4671019,False
234817250718491,234817254307766,3589275,False
234825784314246,234825787891461,3577215,False
234819751958790,234819755971984,4013194,False
234820635198920,234820637981463,2782543,False
234825551005963,234825553384482,2378519,False
234823801205505,234823805490368,4284863,False
234826584185231,234826587160419,2975188,False
234820518491883,234820522573598,4081715,False
234827851119790,234827856570054,5450264,False
234824117848466,234824121827451,3978985,False
234817267387102,234817269513860,2126758,False
234824201175302,234824204106878,2931576,False
234827834457907,234827837778387,3320480,False
234822684617803,234822691203650,6585847,False
234823867868728,234823870641305,2772577,False
234807987777525,234807991360270,3582745,False
234808287894504,234808289514540,1620036,False
234818368036233,234818374251932,6215699,False
234825584336015,234825587097034,2761019,False
234819918291563,234819922920057,4628494,False
234824867730113,234824871987711,4257598,False
234819701941318,234819705474536,3533218,False
234825084380604,234825089002919,4622315,False
234816950662308,234816954250839,3588531,False
234820218386242,234820222033598,3647356,False
234823701210784,234823703796149,2585365,False
234816833971729,234816836903652,2931923,False
234820618525985,234820621511775,2985790,False
234808321239215,234808324145947,2906732,False
234808071142837,234808073281520,2138683,False
234824951056778,234824955053128,3996350,False
234823717876791,234823721422920,3546129,False
234823984527920,234823988594118,4066198,False
234820018322346,234820023113442,4791096,False
234808304566882,234808307095843,2528961,False
234825567671095,234825570750471,3079376,False
234823617880555,234823622030524,4149969,False
234825001054149,234825004141513,3087364,False
234824851065254,234824858774742,7709488,False
234819818260569,234819820662036,2401467,False
234808104489528,234808106416624,1927096,False
234817984467442,234817996857558,12390116,False
234818401386320,234818403055110,1668790,False
234816850652358,234816853640735,2988377,False
234823384553692,234823387398701,2845009,False
234808387930401,234808389786832,1856431,False
234825684324628,234825686892294,2567666,False
234808187855746,234808189385634,1529888,False
234817034015696,234817038329329,4313633,False
234823817871125,234823820792451,2921326,False
234823634546726,234823646452920,11906194,False
234816933991521,234816937005735,3014214,False
234807971107988,234807976557197,5449209,False
234818751551389,234818757395682,5844293,False
234823417886129,234823420830837,2944708,False
234823267894697,234823271653441,3758744,False
234826017622688,234826024622711,7000023,False
235215721769848,235215750866052,29096204,True
234818768225395,234818771033182,2807787,False
234808087816074,234808089279280,1463206,False
234824317806509,234824324084951,6278442,False
234817150704522,234817153675475,2970953,False
235215805161052,235215810631156,5470104,False
234824084517585,234824088092139,3574554,False
234825117711006,234825121835784,4124778,False
234808487966661,234808490781155,2814494,False
234825800979052,234825804975523,3996471,False
234825900967373,234825904058492,3091119,False
234807604325191,234807607010530,2685339,False
234822135532652,234822140979327,5446675,False
234822601282511,234822606719952,5437441,False
234823401219902,234823404174951,2955049,False
234823967862492,234823970685837,2823345,False
234824984388269,234824987524482,3136213,False
234824301139799,234824304449014,3309215,False
234807637670904,234807640321364,2650460,False
234825667659622,234825670370419,2710797,False
234819851607260,234819854798911,3191651,False
234817467406880,234817471329693,3922813,False
234824101183264,234824104709743,3526479,False
234819801978937,234819804995890,3016953,False
234817134034775,234817137301412,3266637,False
234823767873861,234823772612035,4738174,False
234823751208048,234823753693753,2485705,False
